iter	Passed	Remaining
408	4417	982
409	4426	971
410	4437	960
411	4448	950
412	4457	938
413	4466	927
414	4477	916
415	4485	905
416	4496	894
417	4506	883
418	4517	873
419	4528	862
420	4539	851
421	4551	841
422	4561	830
423	4572	819
424	4581	808
425	4591	797
426	4603	786
427	4615	776
428	4624	765
429	4634	754
430	4644	743
431	4655	732
432	4666	722
433	4676	711
434	4687	700
435	4699	689
436	4711	679
437	4722	668
438	4731	657
439	4741	646
440	4750	635
441	4761	624
442	4773	614
443	4783	603
444	4795	592
445	4806	581
446	4817	571
447	4827	560
448	4837	549
449	4847	538
450	4857	527
451	4867	516
452	4877	506
453	4888	495
454	4899	484
455	4908	473
456	4919	462
457	4931	452
458	4941	441
459	4951	430
460	4962	419
461	4974	409
462	4985	398
463	4994	387
464	5005	376
465	5015	365
466	5026	355
467	5037	344
468	5047	333
469	5056	322
470	5067	311
471	5076	301
472	5085	290
473	5096	279
474	5107	268
475	5118	258
476	5129	247
477	5138	236
478	5150	225
479	5161	215
480	5173	204
481	5183	193
482	5192	182
483	5203	172
484	5214	161
485	5224	150
486	5233	139
487	5244	128
488	5255	118
489	5267	107
490	5277	96
491	5286	85
492	5297	75
493	5308	64
494	5316	53
495	5327	42
496	5338	32
497	5347	21
498	5359	10
499	5371	0
