iter	RMSE
165	5333.106162
166	5330.454442
167	5324.382062
168	5319.98128
169	5316.098232
170	5312.142441
171	5309.420086
172	5306.55744
173	5304.109493
174	5299.767449
175	5295.204045
176	5292.653685
177	5287.806837
178	5282.616965
179	5280.599129
180	5275.731988
181	5272.131706
182	5270.389967
183	5268.073908
184	5263.386801
185	5258.732179
186	5254.838169
187	5251.005779
188	5248.64703
189	5243.538889
190	5240.951701
191	5235.520778
192	5233.208264
193	5231.017485
194	5227.874435
195	5224.076417
196	5220.278879
197	5217.297536
198	5214.476275
199	5210.190822
200	5207.024233
201	5204.445737
202	5202.386698
203	5198.661261
204	5193.928601
205	5189.657032
206	5185.319377
207	5180.733966
208	5176.782843
209	5174.05089
210	5170.790968
211	5169.078489
212	5165.596896
213	5163.871987
214	5162.183096
215	5159.431806
216	5156.241543
217	5153.502043
218	5151.698467
219	5149.065649
220	5147.179398
221	5143.847019
222	5141.3374
223	5138.620522
224	5136.140246
225	5133.748184
226	5130.070182
227	5128.136611
228	5126.50252
229	5123.331581
230	5121.780658
231	5120.011667
232	5118.309466
233	5115.89988
234	5113.712087
235	5110.453159
236	5108.308209
237	5105.733461
238	5103.294738
239	5100.194024
240	5098.42859
241	5096.787175
242	5094.181727
243	5090.616321
244	5088.416203
245	5086.261731
246	5084.123775
247	5080.240356
248	5077.419367
249	5075.391844
250	5072.184544
251	5069.166057
252	5066.808805
253	5063.283559
254	5059.854918
255	5057.973483
256	5055.864761
257	5052.728886
258	5049.934841
259	5048.298346
260	5044.323939
261	5041.663071
262	5038.329088
263	5036.841866
264	5034.983753
265	5032.719491
266	5029.943698
267	5027.049073
268	5024.068668
269	5021.910913
270	5020.558345
271	5017.652158
272	5014.161626
273	5012.332095
274	5009.792952
275	5006.983484
276	5004.283805
277	5001.974304
278	4999.455328
279	4996.438192
280	4994.981042
281	4991.521517
282	4989.873409
283	4987.52945
284	4985.274313
285	4980.93452
286	4977.72201
287	4974.509219
288	4971.621673
289	4968.533301
290	4967.200379
291	4965.606112
292	4964.581386
293	4960.670058
294	4958.431437
295	4955.033213
296	4953.314887
297	4951.772967
298	4948.821668
299	4946.136117
300	4944.111211
301	4941.367458
302	4938.609549
303	4935.787368
304	4933.52489
305	4930.688255
306	4929.255689
307	4927.595995
308	4924.425581
309	4921.765459
310	4920.361549
311	4918.635909
312	4916.130427
313	4914.74903
314	4913.684517
315	4912.137849
316	4910.229759
317	4907.508117
318	4905.706664
319	4904.302798
320	4902.432582
321	4901.496973
322	4900.246478
323	4898.6315
324	4896.055911
325	4892.800913
326	4891.705182
327	4889.511669
328	4886.915701
329	4885.912174
330	4883.537726
331	4880.92783
332	4878.355035
333	4876.593848
334	4874.169424
335	4872.535427
336	4870.296086
337	4869.134958
338	4866.414457
339	4863.713119
340	4861.834381
341	4860.619766
342	4859.376033
343	4857.69484
344	4856.670511
345	4855.284155
346	4853.038273
347	4851.053406
348	4850.088523
349	4847.135132
350	4845.875344
351	4844.02911
352	4840.571441
353	4838.242458
354	4836.683615
355	4834.635537
356	4833.359745
357	4832.370219
358	4830.318146
359	4829.393151
360	4828.247846
361	4825.782264
362	4824.875629
363	4823.761892
364	4821.387489
365	4818.763509
366	4816.140378
367	4815.192997
368	4813.621205
369	4812.085394
370	4810.035465
371	4807.150192
372	4804.761289
373	4803.15301
374	4802.284997
375	4800.86256
376	4799.537791
377	4797.553542
378	4795.636753
379	4792.979827
380	4790.801442
381	4788.494096
382	4787.236517
383	4785.788938
384	4783.72622
385	4782.35436
386	4780.309389
387	4778.066636
388	4776.019961
389	4774.350234
390	4773.341849
391	4772.377309
392	4771.217828
393	4768.801646
394	4767.093111
395	4764.191818
396	4763.357707
397	4761.367808
398	4760.072083
399	4757.940543
400	4756.541458
401	4755.382667
402	4753.887191
403	4751.745079
404	4749.865238
405	4747.520327
406	4745.742622
407	4743.960124
408	4742.787771
409	4742.158903
410	4740.317081
411	4738.954351
412	4737.874749
413	4736.578796
414	4734.691417
415	4732.477626
416	4730.574066
417	4728.813129
418	4727.197967
419	4724.921939
420	4723.428048
421	4722.029618
422	4720.589509
423	4718.737363
424	4717.087768
425	4714.391132
426	4712.815914
427	4711.124279
428	4710.416778
429	4708.937254
430	4705.969353
431	4704.483544
432	4702.647749
433	4701.862479
434	4700.899511
435	4699.203298
436	4697.641343
437	4696.550724
438	4695.920449
439	4694.434978
440	4692.784316
441	4691.262141
442	4689.375393
443	4687.514652
444	4685.734207
445	4684.121065
446	4682.943856
447	4681.477122
448	4679.007216
449	4678.091168
450	4675.388502
451	4674.012633
452	4671.6894
453	4670.314375
454	4668.906227
455	4668.244018
456	4666.433687
457	4664.77693
458	4663.572273
459	4661.097863
460	4659.182077
461	4657.621752
462	4656.117033
463	4654.126162
464	4653.088811
465	4651.743846
466	4650.014823
467	4648.780658
468	4646.61911
469	4646.049233
470	4644.239864
471	4643.290458
472	4641.685395
473	4640.067305
474	4638.959057
475	4637.53375
476	4636.149022
477	4634.839307
478	4633.589616
479	4632.417251
480	4630.732547
481	4629.946643
482	4628.641402
483	4627.518513
484	4626.449303
485	4625.818847
486	4623.698316
487	4622.277961
488	4621.091957
489	4619.666065
490	4618.222499
491	4616.978297
492	4615.489075
493	4613.637527
494	4612.910123
495	4610.864838
496	4609.849265
497	4609.265713
498	4607.53153
499	4605.682362
